0x15b5	getExpectedTarget()
0x165d	_R_STATUS_()
0x170a	getOraclePrice()
0x1791	_QUOTE_BALANCE_()
0x1818	_BASE_BALANCE_()
0x189f	_K_()
0x19ee	_LP_FEE_RATE_()
0x1a6f	_MT_FEE_RATE_()
0x1d6a	burn(address)
0x1e35	balanceOf(address)
0x1eb7	withdraw(uint256)
0x2360	depositFor(uint256[2],uint256[2],address)
0x2406	balanceOf(address)
0x24a1	getReserves()
0x2f9c	balanceOf(address)
0x303c	getTradeInfo()
0x36360x21f1	approve(address,uint256)
0x36360x2264	approve(address,uint256)
0x36360x34b9	approve(address,uint256)
0x26af0x21f1	balanceOf(address)
0x26af0x220b	balanceOf(address)
0x26af0x2617	balanceOf(address)
0x9c70x932	swap(uint256,uint256,address)
0x9c70x117d	swap(uint256,uint256,address,bytes)
0x9c70x153b	swap(uint256,uint256,address,bytes)
0x9c70x1550	swap(uint256,uint256,address,bytes)
0x9c70x1ed8	swap(uint256,uint256,address)
