0x22e	0x5c2	0x56ee
0x23f	0x4ea0	0x24e
0x24e	0x852	0x570f
0x25f	0x4c2c	0x26e
0x26e	0x932	0x5730
0x28e	0x9e5	0x5751
0x29f	0x4d31	0x5793
0x2b3	0x4787	0x2c1
0x2c1	0xc9f	0x57b7
0x2e1	0xd6a	0x57d8
0x308	0x4adf	0x317
0x328	0x4d9c	0x337
0x337	0xe10	0x5825
0x348	0x4d69	0x357
0x357	0xf23	0x5846
0x368	0x47ef	0x377
0x377	0x113e	0x5867
0x397	0x117d	0x5893
0x3b7	0x121d	0x58b4
0x3ca	0x1393	0x58d5
0x3db	0x4ab0	0x3ea
0x40a	0x1472	0x5922
0x41b	0x4c2c	0x42a
0x42a	0x153b	0x5943
0x43b	0x4c2c	0x44a
0x44a	0x1550	0x5964
0x45b	0x47ef	0x46a
0x46a	0x1563	0x5985
0x47b	0x4968	0x48a
0x48a	0x1ac7	0x59b1
0x49b	0x4b79	0x4aa
0x4aa	0x1afb	0x59d2
0x4ca	0x1b21	0x59f3
0x4db	0x481a	0x4ea
0x4ea	0x1bb7	0x5a14
0x4fb	0x499b	0x50a
0x50a	0x1bc1	0x5a35
0x51b	0x4c86	0x52a
0x52a	0x1cfd	0x5a56
0x53b	0x4c2c	0x54a
0x54a	0x1ed8	0x5a77
0x55b	0x4b79	0x56a
0x56a	0x1eeb	0x5a98
0x58a	0x1f0c	0x5ab9
0x58f	0x4adf	0x59d
0x59d	0x1f5f	0x5ae5
0x5ae	0x4ce0	0x5bd
0x5bd	0x1ffa	0x5b06
0x5e6	0x2086	0x5b27
0x610	0x217a	0x61e
0x63c	0x514d	0x694
0x694	0x514d	0x72e
0x7b7	0xf23	0x5b72
0x7cc	0xf23	0x5b96
0x830	0x1ac7	0x8440x5c2
0x923	0x21f1	0x5bba
0x932	0x2397	0x9470x932
0x9e5	0x2617	0x5c05
0xa2b	0x26df	0x5c2a
0xc9f	0x50d8	0xcf1
0xcf1	0x2dd6	0xd0c
0xd0c	0x2e29	0xd13
0xd60	0x2e6c	0x5cee
0xd6a	0x217a	0x5d39
0xd9e	0x2ea0	0xddf
0xe10	0x50ac	0xe3a
0xe85	0x2848	0xec30xe10
0xef6	0x4e88	0xf0c
0xf0c	0x26df	0x5d86
0x113e	0x2617	0x1161
0x117d	0x2f2d	0x118c0x117d
0x12f6	0x2848	0x1357
0x1357	0x517e	0x1364
0x1364	0x3275	0x138d
0x147b	0x5319	0x5eeb
0x14ac	0x2617	0x5f38
0x153b	0x2397	0x118c0x153b
0x1550	0x2397	0x118c0x1550
0x166e	0x4f4a	0x1692
0x171b	0x4e88	0x173f
0x17a2	0x4e88	0x17c6
0x1829	0x4e88	0x184d
0x18b0	0x4e88	0x18d4
0x18f3	0x32f3	0x5f85
0x191c	0x3345	0x5fab
0x1925	0x217a	0x1942
0x1942	0x217a	0x1961
0x196b	0x338b	0x1974
0x197b	0x217a	0x198b
0x198b	0x32f3	0x1991
0x1991	0x33da	0x1998
0x19ff	0x4e88	0x1a23
0x1a80	0x4e88	0x1aa4
0x1afb	0x3275	0x6041
0x1b21	0x2617	0x1b43
0x1b43	0x1bb7	0x1b4f
0x1b4f	0x2617	0x1b75
0x1b75	0x217a	0x1b7b
0x1bb7	0x2e6c	0x60b5
0x1bca	0x5319	0x60d8
0x1bfb	0x50ac	0x1c25
0x1c70	0x2848	0xec30x1bc1
0x1cae	0x4e88	0x1cc4
0x1ecd	0x21f1	0x6100
0x1ed8	0x2397	0x9470x1ed8
0x1eeb	0x34b9	0x6125
0x1f0c	0x2617	0x616e
0x1f4f	0x37be	0x1f550x1f0c
0x203c	0x2ea0	0x205c
0x2066	0x2ea0	0x61ba
0x21f1	0x4516	0x21fb
0x21fb	0x4516	0x2203
0x222c	0x220b	0x223a
0x223a	0x1d9b	0x224a
0x2286	0x2264	0x229a
0x250b	0x217a	0x2517
0x2517	0x2086	0x252b
0x252b	0x2086	0x2539
0x2539	0x2086	0x622f
0x254b	0x20f9	0x2559
0x2617	0x3466	0x26220x2617
0x2af7	0x37d4	0x2b05
0x2c6a	0x37fa	0x2c74
0x2e29	0x3a36	0x2e62
0x2e86	0x53f3	0x63a4
0x2ea0	0x3b39	0x63c8
0x30aa	0x217a	0x30c6
0x30c6	0x3c11	0x3110
0x318a	0x217a	0x31ab
0x31ab	0x3c11	0x31f5
0x327c	0x3466	0x3284
0x32d2	0x2ea0	0x6490
0x32f3	0x344e	0x330c
0x330c	0x3dc3	0x64b4
0x3333	0x217a	0x64df
0x3345	0x344e	0x335e
0x335e	0x3dc3	0x6507
0x3379	0x217a	0x6532
0x338b	0x33da	0x33a5
0x33a5	0x344e	0x33bf
0x33bf	0x3f19	0x655a
0x344e	0x2086	0x65820x344e
0x34b9	0x3466	0x34c20x34b9
0x3b39	0x41bb	0x3b9b
0x3cfc	0x217a	0x3d17
0x3d17	0x2086	0x6722
0x3d1e	0x2086	0x3d2c
0x3d2c	0x33da	0x3d3a
0x3d3a	0x20f9	0x3d46
0x3dc3	0x2086	0x3dd8
0x3ddf	0x3dc3	0x676c
0x3df4	0x217a	0x3e0d
0x3e0d	0x3dc3	0x3e13
0x3e1e	0x33da	0x3e27
0x3e2e	0x33da	0x3e38
0x3e43	0x217a	0x3e4c
0x3e57	0x217a	0x3e61
0x3e68	0x217a	0x6791
0x3e84	0x3dc3	0x67b6
0x3e97	0x2086	0x67ff
0x3eaa	0x41ca	0x3eaf
0x3eaf	0x217a	0x6824
0x3ed5	0x33da	0x3ede
0x3ee5	0x217a	0x3eef
0x3ef9	0x344e	0x3f02
0x3f0f	0x4224	0x3f02
0x3f19	0x217a	0x6871
0x3f2a	0x2086	0x6895
0x3f3f	0x4224	0x3f45
0x3f45	0x3dc3	0x3f53
0x3f53	0x217a	0x68ba
0x4056	0x2848	0x4094
0x41bb	0x4241	0x1f550x41bb
0x4224	0x2086	0x423b
0x423b	0x43fb	0xd950x4224
0x43e0	0x442e	0x43f0
0x43fb	0x20f9	0x4408
0x4583	0x5476	0x458d
0x461c	0x5426	0x4629
0x463e	0x46ab	0x464c
