0x220	0x5971224
0x233	0x8d4b9e1
0x253	0x10c5cc11
0x273	0x14284aab
0x293	0x1c021781
0x2b3	0x2636f7f8
0x2c6	0x29439004
0x2fc	0x314464aa
0x31c	0x32ce0a7c
0x33c	0x364dec1d
0x35c	0x70bdb947
0x37c	0x75d22a27
0x39c	0xaade5c49
0x3bc	0xab24c224
0x3cf	0xac14b5ea
0x3ef	0xad0e7b1a
0x40f	0xb757fed6
0x42f	0xc9f12e9d
0x44f	0xca19ebd9
0x46f	0xccf874ba
0x48f	0xd1660f99
0x4af	0xda384cd1
0x4cf	0xde7b4843
0x4ef	0xdf92bd08
0x50f	0xe0d12ba5
0x52f	0xe27703c7
0x54f	0xeb5625d9
0x56f	0xec77bbdb
0x58f	0xf435a9ac
0x5a2	0xfa461e33
0x6c4f	0x00000000
