0x0	0x80
0x2	0x40
0x5	0x4
0x9	0x1d1
0xd	0x0
0x10	0xe0
0x14	0xad0e7b1a
0x1a	0xf7
0x1f	0xde7b4843
0x25	0x95
0x2a	0xeb5625d9
0x30	0x64
0x35	0xeb5625d9
0x40	0xec77bbdb
0x4b	0xf435a9ac
0x56	0xfa461e33
0x60	0x5561
0x66	0xde7b4843
0x71	0xdf92bd08
0x7c	0xe0d12ba5
0x87	0xe27703c7
0x91	0x5585
0x97	0xca19ebd9
0x9d	0xd1
0xa2	0xca19ebd9
0xad	0xccf874ba
0xb8	0xd1660f99
0xc3	0xda384cd1
0xcd	0x55a9
0xd3	0xad0e7b1a
0xde	0xb757fed6
0xe9	0xc9f12e9d
0xf3	0x55cd
0xf9	0x314464aa
0xff	0x16f
0x104	0x75d22a27
0x10a	0x13e
0x10f	0x75d22a27
0x11a	0xaade5c49
0x125	0xab24c224
0x130	0xac14b5ea
0x13a	0x55f1
0x140	0x314464aa
0x14b	0x32ce0a7c
0x156	0x364dec1d
0x161	0x70bdb947
0x16b	0x5615
0x171	0x14284aab
0x177	0x1ab
0x17c	0x14284aab
0x187	0x1c021781
0x192	0x2636f7f8
0x19d	0x29439004
0x1a7	0x5639
0x1ad	0x5971224
0x1b8	0x8d4b9e1
0x1c3	0x10c5cc11
0x1cd	0x565d
0x1d3	0x5681
0x1db	0x56a5
0x1df	0x40
0x1e2	0x8c379a000000000000000000000000000000000000000000000000000000000
0x205	0x4
0x208	0x56c6
0x20c	0x5206
0x221	0x56ee
0x224	0x22e
0x228	0x4
0x22a	0x4ba8
0x22f	0x5c2
0x237	0x23f
0x23b	0x0
0x241	0x570f
0x244	0x24e
0x248	0x4
0x24a	0x4ea0
0x24f	0x852
0x257	0x25f
0x25b	0x0
0x261	0x5730
0x264	0x26e
0x268	0x4
0x26a	0x4c2c
0x26f	0x932
0x277	0x27f
0x27b	0x0
0x281	0x5751
0x284	0x28e
0x288	0x4
0x28a	0x4e11
0x28f	0x9e5
0x297	0x29f
0x29b	0x0
0x2a1	0x5772
0x2a4	0x5793
0x2a8	0x4
0x2aa	0x4d31
0x2b4	0x57b7
0x2b7	0x2c1
0x2bb	0x4
0x2bd	0x4787
0x2c2	0xc9f
0x2ca	0x2d2
0x2ce	0x0
0x2d4	0x57d8
0x2d7	0x2e1
0x2db	0x4
0x2dd	0x4f06
0x2e2	0xd6a
0x300	0x308
0x304	0x0
0x30a	0x5804
0x30d	0x317
0x311	0x4
0x313	0x4adf
